id,name
1.0,PGA
2.0,MLB
3.0,WNBA
4.0,NASCAR
5.0,TENNIS
6.0,MLS
7.0,NBA
8.0,NHL
9.0,NFL
11.0,CFL
12.0,MMA
13.0,oldCSGO
14.0,EPL
15.0,CFB
16.0,NFL WEEK 17
17.0,RYDER
18.0,NBA Preseason
19.0,Tiger vs. Phil
20.0,CBB
21.0,Duplicate
22.0,duplicate
23.0,[duplicate]Tennis
24.0,2ndHALF[duplicate]
25.0,NFL2H
26.0,CELEBGOLF
27.0,AAF
28.0,All-Star Weekend
29.0,DUNK
30.0,RISING
31.0,3PT
32.0,ALLSTAR
33.0,NIT
34.0,SMITE
35.0,NFL1H
36.0,WWC
37.0,CWS
38.0,BIG3
39.0,COPA
40.0,NBASL
41.0,HRDERBY
42.0,BOXING
43.0,MLBP
44.0,NFLP
45.0,QB
46.0,DST
47.0,SEC
79.0,UCL
80.0,NBA2H
81.0,"1stHalf	"
82.0,SOCCER
83.0,PRES
84.0,NBA1H
117.0,XFL
118.0,COMBINE
119.0,40YD
120.0,NFLFA
121.0,LoL
122.0,HORSE
123.0,DRAFT
124.0,CSGO
125.0,F1
126.0,NBA2K
127.0,POKER
128.0,WNBAD
129.0,NBAD
130.0,DESTROY-LATER-NBAD
131.0,GOLF
132.0,ACL
133.0,Draft
134.0,DESTROY-LATER-ACL
135.0,KBO
136.0,[-destroy]NBA2k
137.0,XFINITY
138.0,TRUCKS
139.0,MLB_DRAFT
140.0,OUTLAW
141.0,LOL
142.0,CBA
143.0,HOTDOG
144.0,TBT
145.0,COD
146.0,Trucks
147.0,ORPHANED
148.0,JaiAlai
149.0,NBA4Q
150.0,CFB2H
151.0,EURO
152.0,NFL4Q
153.0,CFB4Q
154.0,MAC
155.0,CBB2H
156.0,DISCC
157.0,DISC
158.0,NBAG
159.0,VAL
160.0,NBAGS
161.0,RL
162.0,CRICKET
163.0,NFLFUT
164.0,EUROS
165.0,AFL
166.0,MEDALS
167.0,OSOCCER
168.0,OBBALL
169.0,OVOLLEY
170.0,OWBBALL
171.0,OBB
172.0,CFBFUT
173.0,NBAFUT
174.0,Dota2
175.0,WEURO
176.0,WCBB
177.0,15
178.0,20
179.0,20
180.0,7
181.0,9
182.0,AUWBB
183.0,PROBOWL
184.0,CFB1H
185.0,FIBA
186.0,CELEB
187.0,CELEBRITY
188.0,NBAFUT2
189.0,NCAAB
190.0,MLBFUT
191.0,USFL
192.0,NBA1Q
193.0,WNBA1H
194.0,WNBA2H
195.0,WNBA4Q
226.0,NHL3P
227.0,NHL1P
228.0,GOLF
229.0,FCF
230.0,LAX
231.0,MLBLIVE
232.0,TRENT
233.0,CHELLY
234.0,NHL2P
235.0,LAUREN
